Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive	AUC - random
7	valid	1.31, 1.68, 1.46, 1.68, 1.61	0.95, 0.00, 0.50, 0.00, 0.00	0.35, 1.00, 0.77, 1.00, 1.00	0.86, 0.83, 0.84, 0.86, 0.91	0.50, 0.50, 0.50, 0.50, 0.50	0.72, 0.56, 0.64, 0.50, 0.75	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
8	train	1.32, 1.68, 1.39, 1.69, 1.61	0.92, 0.00, 0.63, 0.00, 0.00	0.44, 1.00, 0.70, 1.00, 1.00	0.88, 0.86, 0.87, 0.88, 0.90	0.50, 0.50, 0.50, 0.50, 0.50	0.77, 0.60, 0.67, 0.51, 0.81	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
8	valid	1.31, 1.71, 1.38, 1.71, 1.61	0.89, 0.00, 0.67, 0.00, 0.00	0.50, 1.00, 0.66, 1.00, 1.00	0.88, 0.85, 0.86, 0.87, 0.92	0.50, 0.50, 0.50, 0.50, 0.50	0.79, 0.55, 0.68, 0.50, 0.83	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
9	train	1.32, 1.67, 1.44, 1.68, 1.61	0.95, 0.00, 0.50, 0.00, 0.00	0.34, 1.00, 0.77, 1.00, 1.00	0.86, 0.84, 0.85, 0.86, 0.89	0.50, 0.50, 0.50, 0.50, 0.50	0.73, 0.57, 0.64, 0.50, 0.75	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
9	valid	1.41, 1.62, 1.62, 1.62, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.75, 0.73, 0.73, 0.75, 0.77	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
10	train	1.30, 1.63, 1.62, 1.62, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.89, 0.87, 0.88, 0.90, 0.92	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
10	valid	1.29, 1.63, 1.63, 1.62, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.87, 0.85, 0.85, 0.87, 0.92	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
11	train	1.31, 1.67, 1.42, 1.68, 1.61	0.94, 0.00, 0.54, 0.00, 0.00	0.38, 1.00, 0.74, 1.00, 1.00	0.89, 0.88, 0.88, 0.90, 0.91	0.50, 0.50, 0.50, 0.50, 0.50	0.74, 0.59, 0.65, 0.50, 0.77	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
11	valid	1.28, 1.69, 1.44, 1.69, 1.61	0.95, 0.00, 0.53, 0.00, 0.00	0.37, 1.00, 0.76, 1.00, 1.00	0.90, 0.87, 0.88, 0.90, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.74, 0.57, 0.65, 0.49, 0.77	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
12	train	1.30, 1.67, 1.41, 1.68, 1.61	0.94, 0.00, 0.58, 0.00, 0.00	0.39, 1.00, 0.74, 1.00, 1.00	0.90, 0.88, 0.89, 0.90, 0.92	0.50, 0.50, 0.50, 0.50, 0.50	0.76, 0.60, 0.66, 0.52, 0.79	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
12	valid	1.26, 1.68, 1.52, 1.68, 1.63	0.98, 0.00, 0.37, 0.00, 0.00	0.25, 1.00, 0.85, 1.00, 1.00	0.89, 0.85, 0.87, 0.88, 0.96	0.50, 0.50, 0.50, 0.50, 0.50	0.68, 0.56, 0.61, 0.51, 0.69	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
13	train	1.30, 1.68, 1.36, 1.70, 1.61	0.92, 0.00, 0.71, 0.00, 0.00	0.48, 1.00, 0.68, 1.00, 1.00	0.90, 0.88, 0.89, 0.91, 0.93	0.50, 0.50, 0.50, 0.50, 0.50	0.82, 0.63, 0.71, 0.52, 0.85	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
13	valid	1.30, 1.69, 1.41, 1.69, 1.61	0.91, 0.00, 0.60, 0.00, 0.00	0.42, 1.00, 0.72, 1.00, 1.00	0.89, 0.86, 0.88, 0.89, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.76, 0.58, 0.67, 0.51, 0.80	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
14	train	1.30, 1.69, 1.34, 1.70, 1.61	0.92, 0.00, 0.77, 0.00, 0.00	0.53, 1.00, 0.64, 1.00, 1.00	0.91, 0.90, 0.90, 0.92, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.85, 0.63, 0.72, 0.51, 0.89	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
14	valid	1.27, 1.65, 1.53, 1.66, 1.61	0.98, 0.00, 0.32, 0.00, 0.00	0.21, 1.00, 0.87, 1.00, 1.00	0.91, 0.88, 0.90, 0.92, 0.96	0.50, 0.50, 0.50, 0.50, 0.50	0.65, 0.56, 0.60, 0.50, 0.66	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
15	train	1.31, 1.68, 1.39, 1.68, 1.61	0.93, 0.00, 0.63, 0.00, 0.00	0.43, 1.00, 0.70, 1.00, 1.00	0.90, 0.88, 0.89, 0.90, 0.91	0.50, 0.50, 0.50, 0.50, 0.50	0.78, 0.61, 0.68, 0.53, 0.81	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
15	valid	1.29, 1.63, 1.63, 1.62, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.90, 0.87, 0.89, 0.90, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
16	train	1.29, 1.63, 1.57, 1.63, 1.54	0.98, 0.00, 0.14, 0.00, 0.20	0.15, 1.00, 0.94, 1.00, 0.99	0.91, 0.90, 0.90, 0.92, 0.93	0.50, 0.50, 0.50, 0.50, 0.50	0.56, 0.52, 0.54, 0.51, 0.57	0.50, 0.50, 0.50, 0.50, 0.50	0.60, 0.59, 0.59, 0.59, 0.59
16	valid	1.27, 1.71, 1.45, 1.71, 1.23	0.95, 0.00, 0.59, 0.00, 1.00	0.69, 1.00, 0.72, 1.00, 1.00	0.90, 0.86, 0.88, 0.90, 0.97	0.50, 0.50, 0.50, 0.50, 0.50	0.78, 0.56, 0.67, 0.49, 0.80	0.50, 0.50, 0.50, 0.50, 0.50	1.00, 0.99, 1.00, 1.00, 1.00
17	train	1.29, 1.71, 1.31, 1.71, 1.24	0.91, 0.00, 0.85, 0.00, 1.00	0.87, 1.00, 0.57, 1.00, 0.99	0.92, 0.90, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.62, 0.74, 0.52, 0.93	0.50, 0.50, 0.50, 0.50, 0.50	1.00, 0.99, 1.00, 1.00, 1.00
17	valid	1.31, 1.70, 1.41, 1.70, 1.23	0.94, 0.00, 0.64, 0.00, 1.00	0.74, 1.00, 0.69, 1.00, 0.99	0.88, 0.85, 0.86, 0.88, 0.92	0.50, 0.50, 0.50, 0.50, 0.50	0.80, 0.58, 0.68, 0.48, 0.82	0.50, 0.50, 0.50, 0.50, 0.50	1.00, 0.99, 1.00, 1.00, 1.00
18	train	1.29, 1.68, 1.41, 1.68, 1.24	0.93, 0.00, 0.58, 0.00, 1.00	0.66, 1.00, 0.72, 1.00, 0.99	0.92, 0.91, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.76, 0.57, 0.66, 0.52, 0.79	0.50, 0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00, 1.00
18	valid	1.26, 1.73, 1.37, 1.73, 1.23	0.94, 0.00, 0.71, 0.00, 1.00	0.80, 1.00, 0.65, 1.00, 1.00	0.92, 0.89, 0.90, 0.92, 0.98	0.50, 0.50, 0.50, 0.50, 0.50	0.85, 0.57, 0.71, 0.47, 0.88	0.50, 0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00, 1.00
19	train	1.30, 1.71, 1.30, 1.71, 1.24	0.90, 0.00, 0.85, 0.00, 0.99	0.88, 1.00, 0.56, 1.00, 0.99	0.92, 0.91, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.60, 0.73, 0.50, 0.93	0.50, 0.50, 0.50, 0.50, 0.50	1.00, 0.99, 1.00, 1.00, 1.00
19	valid	1.32, 1.67, 1.45, 1.68, 1.24	0.92, 0.00, 0.55, 0.00, 1.00	0.69, 1.00, 0.76, 1.00, 0.94	0.92, 0.89, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.76, 0.59, 0.66, 0.48, 0.77	0.50, 0.50, 0.50, 0.50, 0.50	0.95, 0.99, 1.00, 1.00, 0.98
20	train	1.30, 1.70, 1.32, 1.71, 1.23	0.91, 0.00, 0.84, 0.00, 1.00	0.84, 1.00, 0.60, 1.00, 0.99	0.92, 0.91, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.65, 0.74, 0.52, 0.92	0.50, 0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00, 1.00
20	valid	1.28, 1.69, 1.40, 1.70, 1.24	0.93, 0.00, 0.71, 0.00, 1.00	0.76, 1.00, 0.68, 1.00, 1.00	0.93, 0.90, 0.91, 0.93, 0.96	0.50, 0.50, 0.50, 0.50, 0.50	0.83, 0.61, 0.71, 0.49, 0.86	0.50, 0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00, 1.00
21	train	1.30, 1.70, 1.31, 1.71, 1.24	0.90, 0.00, 0.86, 0.00, 1.00	0.87, 1.00, 0.57, 1.00, 0.99	0.92, 0.90, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.90, 0.65, 0.75, 0.50, 0.93	0.50, 0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00, 1.00
21	valid	1.30, 1.70, 1.35, 1.70, 1.23	0.92, 0.00, 0.78, 0.00, 1.00	0.82, 1.00, 0.64, 1.00, 0.99	0.92, 0.89, 0.90, 0.92, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.86, 0.61, 0.73, 0.49, 0.89	0.50, 0.50, 0.50, 0.50, 0.50	1.00, 0.99, 1.00, 1.00, 1.00
22	train	1.31, 1.75, 1.37, 1.44, 1.24	0.89, 0.00, 0.83, 0.11, 1.00	0.91, 1.00, 0.60, 0.95, 0.99	0.92, 0.91, 0.92, 0.93, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.90, 0.66, 0.75, 0.50, 0.94	0.89, 0.71, 0.57, 0.77, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
22	valid	1.29, 1.75, 1.36, 1.50, 1.30	0.90, 0.00, 0.85, 0.02, 0.94	0.84, 1.00, 0.62, 1.00, 1.00	0.93, 0.89, 0.93, 0.95, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.90, 0.69, 0.77, 0.49, 0.94	0.84, 0.71, 0.56, 0.75, 0.86	1.00, 1.00, 1.00, 1.00, 1.00
23	train	1.29, 1.72, 1.41, 1.42, 1.24	0.92, 0.00, 0.65, 0.28, 1.00	0.84, 1.00, 0.72, 0.91, 0.99	0.93, 0.91, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.86, 0.68, 0.73, 0.49, 0.89	0.88, 0.73, 0.58, 0.77, 0.90	1.00, 1.00, 1.00, 1.00, 1.00
