Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive	AUC - random
30	valid	1.31, 1.73, 1.40, 1.41, 1.26	0.90, 0.00, 0.57, 0.40, 0.97	0.85, 1.00, 0.78, 0.87, 0.99	0.90, 0.87, 0.90, 0.91, 0.93	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.74, 0.77, 0.50, 0.91	0.89, 0.76, 0.54, 0.79, 0.91	1.00, 1.00, 1.00, 1.00, 1.00
31	train	1.30, 1.72, 1.39, 1.39, 1.23	0.91, 0.00, 0.59, 0.41, 1.00	0.84, 1.00, 0.78, 0.86, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.90, 0.77, 0.77, 0.50, 0.92	0.92, 0.80, 0.56, 0.80, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
31	valid	1.28, 1.73, 1.41, 1.40, 1.27	0.92, 0.00, 0.59, 0.38, 0.98	0.83, 1.00, 0.79, 0.87, 1.00	0.93, 0.90, 0.92, 0.94, 0.96	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.77, 0.78, 0.50, 0.92	0.92, 0.80, 0.55, 0.81, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
32	train	1.29, 1.71, 1.39, 1.39, 1.23	0.92, 0.00, 0.61, 0.40, 1.00	0.83, 1.00, 0.77, 0.88, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.90, 0.77, 0.77, 0.49, 0.92	0.92, 0.81, 0.57, 0.81, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
32	valid	1.33, 1.75, 1.36, 1.39, 1.23	0.84, 0.00, 0.91, 0.07, 1.00	0.91, 1.00, 0.59, 0.99, 1.00	0.91, 0.89, 0.91, 0.92, 0.93	0.50, 0.50, 0.50, 0.50, 0.50	0.92, 0.79, 0.81, 0.51, 0.97	0.92, 0.81, 0.54, 0.81, 0.96	1.00, 0.99, 1.00, 1.00, 1.00
33	train	1.29, 1.70, 1.42, 1.39, 1.23	0.92, 0.00, 0.45, 0.53, 1.00	0.80, 1.00, 0.85, 0.82, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.87, 0.77, 0.76, 0.50, 0.90	0.91, 0.80, 0.55, 0.79, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
33	valid	1.35, 1.75, 1.36, 1.37, 1.23	0.84, 0.00, 0.81, 0.24, 1.00	0.91, 1.00, 0.67, 0.92, 1.00	0.89, 0.86, 0.88, 0.89, 0.90	0.50, 0.50, 0.50, 0.50, 0.50	0.92, 0.80, 0.81, 0.51, 0.97	0.94, 0.82, 0.56, 0.83, 0.97	1.00, 0.99, 1.00, 1.00, 1.00
34	train	1.30, 1.70, 1.40, 1.40, 1.23	0.92, 0.00, 0.63, 0.36, 1.00	0.81, 1.00, 0.77, 0.89, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.77, 0.77, 0.50, 0.91	0.91, 0.81, 0.56, 0.80, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
34	valid	1.28, 1.68, 1.44, 1.41, 1.23	0.94, 0.00, 0.36, 0.55, 1.00	0.74, 1.00, 0.90, 0.85, 1.00	0.93, 0.90, 0.92, 0.94, 0.96	0.50, 0.50, 0.50, 0.50, 0.50	0.85, 0.76, 0.75, 0.51, 0.87	0.88, 0.80, 0.54, 0.79, 0.90	1.00, 1.00, 1.00, 1.00, 1.00
35	train	1.29, 1.70, 1.39, 1.41, 1.23	0.93, 0.00, 0.69, 0.26, 1.00	0.80, 1.00, 0.74, 0.92, 1.00	0.93, 0.92, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.90, 0.79, 0.77, 0.49, 0.92	0.90, 0.81, 0.56, 0.80, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
35	valid	1.31, 1.72, 1.42, 1.44, 1.23	0.92, 0.00, 0.75, 0.03, 1.00	0.79, 1.00, 0.68, 0.99, 1.00	0.90, 0.88, 0.89, 0.91, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.86, 0.70, 0.74, 0.47, 0.88	0.86, 0.74, 0.56, 0.77, 0.88	1.00, 1.00, 1.00, 1.00, 1.00
36	train	1.29, 1.69, 1.40, 1.40, 1.23	0.93, 0.00, 0.62, 0.35, 1.00	0.79, 1.00, 0.78, 0.90, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.78, 0.77, 0.49, 0.91	0.91, 0.82, 0.57, 0.81, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
36	valid	1.29, 1.68, 1.42, 1.47, 1.23	0.93, 0.00, 0.71, 0.07, 1.00	0.73, 1.00, 0.74, 0.99, 1.00	0.92, 0.90, 0.91, 0.93, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.84, 0.74, 0.74, 0.48, 0.86	0.82, 0.76, 0.55, 0.75, 0.84	1.00, 1.00, 1.00, 1.00, 1.00
37	train	1.29, 1.69, 1.41, 1.39, 1.23	0.93, 0.00, 0.56, 0.45, 1.00	0.81, 1.00, 0.81, 0.86, 1.00	0.93, 0.92, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.78, 0.77, 0.50, 0.91	0.92, 0.82, 0.58, 0.81, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
37	valid	1.29, 1.71, 1.46, 1.39, 1.23	0.93, 0.00, 0.26, 0.70, 1.00	0.79, 1.00, 0.92, 0.78, 1.00	0.93, 0.90, 0.92, 0.94, 0.96	0.50, 0.50, 0.50, 0.50, 0.50	0.83, 0.72, 0.73, 0.49, 0.85	0.91, 0.80, 0.57, 0.81, 0.93	1.00, 0.99, 1.00, 1.00, 1.00
38	train	1.29, 1.69, 1.40, 1.39, 1.23	0.92, 0.00, 0.57, 0.49, 1.00	0.80, 1.00, 0.82, 0.87, 1.00	0.93, 0.92, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.88, 0.79, 0.78, 0.52, 0.91	0.91, 0.83, 0.59, 0.82, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
38	valid	1.26, 1.65, 1.54, 1.58, 1.25	0.99, 0.00, 0.32, 0.11, 0.97	0.46, 1.00, 0.92, 0.99, 1.00	0.94, 0.91, 0.93, 0.95, 0.97	0.50, 0.50, 0.50, 0.50, 0.50	0.68, 0.65, 0.63, 0.51, 0.68	0.63, 0.61, 0.53, 0.60, 0.63	1.00, 1.00, 1.00, 1.00, 1.00
39	train	1.29, 1.68, 1.40, 1.40, 1.23	0.93, 0.00, 0.56, 0.50, 1.00	0.80, 1.00, 0.82, 0.87, 1.00	0.93, 0.92, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.80, 0.78, 0.52, 0.92	0.91, 0.83, 0.59, 0.81, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
39	valid	1.28, 1.71, 1.41, 1.39, 1.23	0.94, 0.00, 0.45, 0.61, 1.00	0.82, 1.00, 0.87, 0.84, 1.00	0.94, 0.90, 0.93, 0.95, 0.97	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.79, 0.79, 0.53, 0.92	0.92, 0.83, 0.57, 0.82, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
40	train	1.29, 1.67, 1.41, 1.39, 1.23	0.93, 0.00, 0.50, 0.58, 1.00	0.78, 1.00, 0.86, 0.86, 1.00	0.93, 0.92, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.88, 0.81, 0.78, 0.53, 0.90	0.92, 0.85, 0.59, 0.82, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
40	valid	1.36, 1.70, 1.38, 1.38, 1.24	0.83, 0.00, 0.71, 0.41, 1.00	0.86, 1.00, 0.75, 0.90, 1.00	0.89, 0.86, 0.88, 0.89, 0.90	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.82, 0.80, 0.52, 0.94	0.93, 0.85, 0.59, 0.84, 0.96	1.00, 0.99, 1.00, 1.00, 1.00
41	train	1.29, 1.68, 1.39, 1.40, 1.23	0.94, 0.00, 0.62, 0.46, 1.00	0.79, 1.00, 0.81, 0.89, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.90, 0.81, 0.79, 0.52, 0.92	0.91, 0.84, 0.59, 0.82, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
41	valid	1.35, 1.71, 1.37, 1.40, 1.23	0.82, 0.00, 0.77, 0.33, 1.00	0.87, 1.00, 0.71, 0.92, 1.00	0.89, 0.87, 0.88, 0.90, 0.91	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.80, 0.80, 0.53, 0.95	0.92, 0.83, 0.61, 0.83, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
42	train	1.29, 1.68, 1.39, 1.40, 1.23	0.93, 0.00, 0.63, 0.44, 1.00	0.81, 1.00, 0.79, 0.89, 1.00	0.93, 0.92, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.90, 0.80, 0.79, 0.52, 0.92	0.91, 0.83, 0.60, 0.82, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
42	valid	1.34, 1.67, 1.43, 1.43, 1.23	0.89, 0.00, 0.55, 0.39, 1.00	0.73, 1.00, 0.82, 0.93, 1.00	0.90, 0.87, 0.89, 0.91, 0.93	0.50, 0.50, 0.50, 0.50, 0.50	0.82, 0.75, 0.74, 0.50, 0.86	0.85, 0.79, 0.59, 0.79, 0.88	1.00, 0.99, 1.00, 1.00, 1.00
43	train	1.29, 1.61, 1.40, 1.40, 1.23	0.91, 0.18, 0.60, 0.48, 1.00	0.85, 0.97, 0.81, 0.90, 1.00	0.94, 0.92, 0.93, 0.95, 0.95	0.60, 0.58, 0.55, 0.56, 0.63	0.90, 0.80, 0.78, 0.52, 0.92	0.92, 0.85, 0.61, 0.83, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
43	valid	1.32, 1.35, 1.52, 1.47, 1.23	0.83, 0.73, 0.29, 0.50, 1.00	0.94, 0.82, 0.94, 0.90, 1.00	0.92, 0.90, 0.91, 0.93, 0.95	0.86, 0.85, 0.76, 0.79, 0.96	0.81, 0.74, 0.73, 0.50, 0.83	0.86, 0.79, 0.58, 0.79, 0.88	1.00, 0.99, 1.00, 1.00, 1.00
44	train	1.31, 1.41, 1.40, 1.41, 1.23	0.86, 0.63, 0.59, 0.46, 1.00	0.96, 0.92, 0.83, 0.91, 1.00	0.93, 0.92, 0.93, 0.94, 0.95	0.87, 0.86, 0.82, 0.83, 0.92	0.91, 0.83, 0.80, 0.53, 0.94	0.93, 0.86, 0.60, 0.83, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
44	valid	1.28, 1.39, 1.49, 1.51, 1.23	0.91, 0.70, 0.46, 0.29, 1.00	0.90, 0.86, 0.89, 0.96, 1.00	0.94, 0.91, 0.93, 0.95, 0.97	0.87, 0.83, 0.77, 0.77, 0.91	0.83, 0.79, 0.75, 0.52, 0.85	0.82, 0.79, 0.56, 0.75, 0.83	1.00, 0.99, 1.00, 1.00, 1.00
45	train	1.30, 1.39, 1.43, 1.40, 1.23	0.87, 0.68, 0.43, 0.60, 1.00	0.96, 0.91, 0.90, 0.87, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.88, 0.87, 0.83, 0.83, 0.93	0.90, 0.83, 0.80, 0.53, 0.92	0.93, 0.86, 0.58, 0.83, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
45	valid	1.28, 1.46, 1.45, 1.44, 1.23	0.91, 0.54, 0.45, 0.49, 1.00	0.89, 0.93, 0.89, 0.91, 1.00	0.94, 0.91, 0.93, 0.95, 0.98	0.83, 0.80, 0.74, 0.75, 0.87	0.89, 0.80, 0.79, 0.52, 0.91	0.91, 0.83, 0.58, 0.82, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
46	train	1.30, 1.37, 1.43, 1.41, 1.23	0.87, 0.72, 0.49, 0.53, 1.00	0.96, 0.90, 0.89, 0.90, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.87, 0.83, 0.83, 0.93	0.89, 0.83, 0.80, 0.54, 0.92	0.93, 0.87, 0.60, 0.84, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
46	valid	1.30, 1.34, 1.48, 1.49, 1.23	0.88, 0.79, 0.42, 0.33, 1.00	0.94, 0.82, 0.92, 0.95, 1.00	0.94, 0.92, 0.93, 0.95, 0.96	0.90, 0.86, 0.80, 0.79, 0.94	0.85, 0.81, 0.78, 0.54, 0.88	0.86, 0.82, 0.56, 0.79, 0.88	1.00, 1.00, 1.00, 1.00, 1.00
47	train	1.30, 1.37, 1.43, 1.41, 1.23	0.87, 0.73, 0.50, 0.51, 1.00	0.97, 0.90, 0.89, 0.90, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.87, 0.84, 0.84, 0.93	0.90, 0.84, 0.80, 0.55, 0.92	0.93, 0.88, 0.59, 0.83, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
47	valid	1.31, 1.41, 1.43, 1.43, 1.23	0.86, 0.65, 0.59, 0.37, 1.00	0.94, 0.90, 0.85, 0.94, 1.00	0.93, 0.90, 0.92, 0.94, 0.95	0.84, 0.83, 0.79, 0.80, 0.89	0.89, 0.81, 0.79, 0.53, 0.91	0.90, 0.85, 0.58, 0.82, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
48	train	1.30, 1.37, 1.42, 1.41, 1.23	0.87, 0.72, 0.57, 0.46, 1.00	0.96, 0.90, 0.86, 0.92, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.88, 0.87, 0.84, 0.84, 0.93	0.90, 0.84, 0.80, 0.54, 0.92	0.92, 0.87, 0.59, 0.83, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
48	valid	1.34, 1.44, 1.41, 1.49, 1.23	0.80, 0.57, 0.69, 0.16, 1.00	0.93, 0.91, 0.78, 0.98, 0.96	0.92, 0.88, 0.91, 0.93, 0.94	0.84, 0.80, 0.74, 0.74, 0.87	0.91, 0.79, 0.80, 0.51, 0.93	0.87, 0.81, 0.57, 0.79, 0.88	1.00, 1.00, 1.00, 1.00, 1.00
49	train	1.30, 1.37, 1.41, 1.40, 1.23	0.87, 0.72, 0.53, 0.51, 1.00	0.96, 0.91, 0.88, 0.91, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.88, 0.87, 0.84, 0.85, 0.92	0.91, 0.85, 0.81, 0.53, 0.93	0.93, 0.88, 0.60, 0.84, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
49	valid	1.33, 1.34, 1.51, 1.52, 1.23	0.82, 0.79, 0.40, 0.26, 1.00	0.95, 0.78, 0.90, 0.96, 1.00	0.91, 0.90, 0.90, 0.92, 0.93	0.88, 0.85, 0.77, 0.79, 0.93	0.80, 0.74, 0.72, 0.51, 0.81	0.81, 0.77, 0.58, 0.75, 0.82	1.00, 1.00, 1.00, 1.00, 1.00
50	train	1.30, 1.36, 1.42, 1.41, 1.23	0.86, 0.75, 0.52, 0.51, 1.00	0.97, 0.90, 0.88, 0.91, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.88, 0.84, 0.85, 0.94	0.90, 0.84, 0.80, 0.53, 0.92	0.93, 0.88, 0.62, 0.85, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
50	valid	1.28, 1.32, 1.62, 1.67, 1.24	0.90, 0.81, 0.18, 0.08, 1.00	0.89, 0.68, 0.96, 0.99, 1.00	0.94, 0.92, 0.93, 0.95, 0.98	0.90, 0.81, 0.69, 0.68, 0.93	0.68, 0.66, 0.64, 0.53, 0.69	0.62, 0.62, 0.53, 0.60, 0.63	1.00, 1.00, 1.00, 1.00, 1.00
51	train	1.30, 1.36, 1.42, 1.41, 1.23	0.87, 0.75, 0.54, 0.51, 1.00	0.96, 0.90, 0.88, 0.92, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.88, 0.84, 0.85, 0.93	0.90, 0.84, 0.81, 0.56, 0.92	0.92, 0.88, 0.64, 0.84, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
51	valid	1.29, 1.39, 1.44, 1.51, 1.24	0.90, 0.69, 0.55, 0.32, 1.00	0.91, 0.89, 0.87, 0.96, 1.00	0.93, 0.91, 0.92, 0.94, 0.96	0.86, 0.83, 0.78, 0.78, 0.89	0.86, 0.80, 0.78, 0.54, 0.88	0.84, 0.80, 0.61, 0.78, 0.85	1.00, 1.00, 1.00, 1.00, 1.00
52	train	1.31, 1.37, 1.41, 1.40, 1.23	0.86, 0.73, 0.54, 0.55, 1.00	0.97, 0.91, 0.89, 0.91, 1.00	0.93, 0.92, 0.93, 0.94, 0.95	0.88, 0.87, 0.84, 0.85, 0.93	0.91, 0.85, 0.81, 0.56, 0.93	0.93, 0.88, 0.65, 0.85, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
52	valid	1.31, 1.32, 1.53, 1.45, 1.23	0.84, 0.82, 0.29, 0.49, 1.00	0.95, 0.81, 0.95, 0.91, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.90, 0.87, 0.81, 0.82, 0.95	0.81, 0.78, 0.75, 0.55, 0.83	0.89, 0.84, 0.63, 0.83, 0.91	1.00, 1.00, 1.00, 1.00, 1.00
53	train	1.30, 1.36, 1.42, 1.40, 1.23	0.87, 0.75, 0.48, 0.59, 1.00	0.97, 0.90, 0.90, 0.90, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.88, 0.85, 0.86, 0.94	0.90, 0.84, 0.81, 0.57, 0.92	0.93, 0.89, 0.65, 0.85, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
53	valid	1.30, 1.62, 1.36, 1.41, 1.23	0.87, 0.24, 0.76, 0.38, 1.00	0.94, 0.99, 0.73, 0.94, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.70, 0.68, 0.66, 0.67, 0.71	0.92, 0.77, 0.82, 0.57, 0.97	0.92, 0.82, 0.62, 0.84, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
54	train	1.30, 1.35, 1.41, 1.40, 1.23	0.86, 0.76, 0.55, 0.55, 1.00	0.97, 0.91, 0.89, 0.92, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.89, 0.85, 0.87, 0.94	0.91, 0.85, 0.82, 0.58, 0.93	0.93, 0.89, 0.66, 0.86, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
54	valid	1.28, 1.48, 1.41, 1.46, 1.24	0.91, 0.52, 0.64, 0.40, 1.00	0.90, 0.95, 0.84, 0.95, 1.00	0.94, 0.92, 0.93, 0.95, 0.97	0.79, 0.78, 0.75, 0.76, 0.81	0.89, 0.80, 0.80, 0.55, 0.91	0.88, 0.82, 0.65, 0.81, 0.89	1.00, 1.00, 1.00, 1.00, 1.00
55	train	1.30, 1.35, 1.42, 1.40, 1.23	0.86, 0.76, 0.54, 0.55, 1.00	0.97, 0.90, 0.89, 0.91, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.88, 0.85, 0.86, 0.93	0.90, 0.85, 0.81, 0.57, 0.93	0.93, 0.89, 0.66, 0.86, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
55	valid	1.33, 1.38, 1.44, 1.42, 1.25	0.83, 0.71, 0.47, 0.53, 0.99	0.96, 0.88, 0.90, 0.91, 1.00	0.92, 0.90, 0.91, 0.93, 0.93	0.88, 0.85, 0.80, 0.80, 0.92	0.88, 0.82, 0.80, 0.58, 0.91	0.92, 0.87, 0.62, 0.85, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
56	train	1.30, 1.35, 1.42, 1.40, 1.23	0.87, 0.76, 0.53, 0.58, 1.00	0.97, 0.91, 0.90, 0.91, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.88, 0.85, 0.86, 0.93	0.90, 0.85, 0.82, 0.58, 0.93	0.93, 0.90, 0.67, 0.86, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
56	valid	1.30, 1.37, 1.53, 1.40, 1.23	0.87, 0.73, 0.28, 0.61, 1.00	0.94, 0.87, 0.95, 0.89, 1.00	0.93, 0.90, 0.92, 0.94, 0.95	0.88, 0.85, 0.78, 0.80, 0.92	0.79, 0.76, 0.74, 0.57, 0.81	0.90, 0.86, 0.64, 0.84, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
57	train	1.30, 1.35, 1.42, 1.38, 1.23	0.86, 0.77, 0.50, 0.64, 1.00	0.97, 0.91, 0.91, 0.90, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.89, 0.85, 0.87, 0.93	0.90, 0.85, 0.82, 0.62, 0.92	0.94, 0.90, 0.67, 0.87, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
57	valid	1.30, 1.34, 1.53, 1.45, 1.23	0.85, 0.79, 0.32, 0.52, 1.00	0.94, 0.83, 0.95, 0.92, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.89, 0.86, 0.80, 0.81, 0.93	0.78, 0.76, 0.74, 0.59, 0.81	0.86, 0.83, 0.63, 0.80, 0.88	1.00, 1.00, 1.00, 1.00, 1.00
58	train	1.30, 1.35, 1.42, 1.39, 1.23	0.87, 0.76, 0.52, 0.61, 1.00	0.97, 0.90, 0.91, 0.91, 1.00	0.94, 0.93, 0.93, 0.94, 0.95	0.89, 0.88, 0.84, 0.86, 0.93	0.90, 0.84, 0.82, 0.63, 0.92	0.93, 0.89, 0.69, 0.87, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
58	valid	1.28, 1.48, 1.44, 1.40, 1.34	0.90, 0.51, 0.49, 0.57, 0.68	0.84, 0.93, 0.88, 0.91, 1.00	0.93, 0.92, 0.93, 0.95, 0.92	0.83, 0.80, 0.73, 0.75, 0.86	0.88, 0.75, 0.80, 0.62, 0.92	0.92, 0.84, 0.68, 0.85, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
59	train	1.30, 1.35, 1.41, 1.39, 1.23	0.87, 0.75, 0.58, 0.60, 1.00	0.97, 0.91, 0.90, 0.93, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.89, 0.85, 0.87, 0.93	0.90, 0.84, 0.82, 0.64, 0.92	0.93, 0.89, 0.72, 0.87, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
59	valid	1.32, 1.39, 1.43, 1.44, 1.23	0.86, 0.67, 0.54, 0.48, 1.00	0.94, 0.91, 0.88, 0.93, 1.00	0.92, 0.89, 0.91, 0.93, 0.94	0.86, 0.84, 0.80, 0.81, 0.89	0.87, 0.80, 0.80, 0.60, 0.89	0.88, 0.84, 0.66, 0.82, 0.90	1.00, 1.00, 1.00, 1.00, 1.00
60	train	1.30, 1.35, 1.42, 1.38, 1.23	0.87, 0.75, 0.55, 0.63, 1.00	0.97, 0.91, 0.91, 0.92, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.88, 0.84, 0.87, 0.93	0.89, 0.83, 0.82, 0.66, 0.92	0.93, 0.89, 0.72, 0.87, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
60	valid	1.31, 1.38, 1.43, 1.42, 1.23	0.85, 0.69, 0.52, 0.53, 1.00	0.95, 0.89, 0.89, 0.93, 1.00	0.93, 0.91, 0.92, 0.93, 0.95	0.85, 0.85, 0.81, 0.83, 0.91	0.87, 0.80, 0.80, 0.61, 0.90	0.90, 0.85, 0.67, 0.84, 0.91	1.00, 1.00, 1.00, 1.00, 1.00
61	train	1.30, 1.34, 1.40, 1.38, 1.23	0.86, 0.77, 0.58, 0.63, 1.00	0.97, 0.91, 0.90, 0.93, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.90, 0.89, 0.86, 0.88, 0.94	0.90, 0.84, 0.84, 0.67, 0.93	0.93, 0.90, 0.74, 0.88, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
61	valid	1.29, 1.66, 1.41, 1.34, 1.23	0.89, 0.19, 0.48, 0.72, 1.00	0.93, 0.99, 0.87, 0.80, 1.00	0.94, 0.91, 0.93, 0.94, 0.96	0.66, 0.66, 0.65, 0.66, 0.67	0.90, 0.75, 0.81, 0.63, 0.93	0.96, 0.85, 0.70, 0.88, 0.98	1.00, 1.00, 1.00, 1.00, 1.00
62	train	1.30, 1.35, 1.40, 1.38, 1.23	0.87, 0.75, 0.60, 0.63, 1.00	0.97, 0.92, 0.90, 0.93, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.89, 0.89, 0.86, 0.88, 0.93	0.90, 0.84, 0.84, 0.69, 0.93	0.93, 0.90, 0.75, 0.88, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
62	valid	1.30, 1.42, 1.42, 1.42, 1.23	0.87, 0.62, 0.59, 0.56, 1.00	0.94, 0.92, 0.88, 0.93, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.84, 0.83, 0.78, 0.80, 0.87	0.87, 0.80, 0.81, 0.65, 0.90	0.89, 0.84, 0.72, 0.84, 0.91	1.00, 1.00, 1.00, 1.00, 1.00
63	train	1.30, 1.35, 1.40, 1.38, 1.23	0.87, 0.77, 0.59, 0.64, 1.00	0.97, 0.91, 0.91, 0.93, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.89, 0.89, 0.86, 0.88, 0.93	0.90, 0.84, 0.84, 0.71, 0.92	0.93, 0.89, 0.77, 0.88, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
63	valid	1.28, 1.36, 1.49, 1.44, 1.23	0.89, 0.75, 0.44, 0.54, 1.00	0.92, 0.87, 0.94, 0.94, 1.00	0.94, 0.91, 0.93, 0.94, 0.96	0.88, 0.86, 0.80, 0.82, 0.92	0.81, 0.76, 0.76, 0.64, 0.82	0.86, 0.83, 0.71, 0.82, 0.87	1.00, 1.00, 1.00, 1.00, 1.00
64	train	1.30, 1.35, 1.40, 1.37, 1.23	0.87, 0.75, 0.60, 0.68, 1.00	0.97, 0.92, 0.91, 0.93, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.90, 0.89, 0.86, 0.88, 0.93	0.89, 0.83, 0.84, 0.73, 0.91	0.93, 0.90, 0.78, 0.89, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
64	valid	1.30, 1.32, 1.63, 1.41, 1.23	0.85, 0.83, 0.16, 0.58, 1.00	0.94, 0.78, 0.99, 0.92, 1.00	0.93, 0.91, 0.92, 0.94, 0.96	0.90, 0.86, 0.78, 0.81, 0.95	0.68, 0.67, 0.66, 0.60, 0.70	0.89, 0.86, 0.70, 0.85, 0.91	1.00, 1.00, 1.00, 1.00, 1.00
65	train	1.31, 1.35, 1.40, 1.36, 1.23	0.86, 0.76, 0.60, 0.68, 1.00	0.97, 0.91, 0.91, 0.93, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.90, 0.89, 0.86, 0.88, 0.94	0.90, 0.84, 0.85, 0.73, 0.92	0.93, 0.90, 0.78, 0.89, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
