Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter	AUC - nonpromoter active	AUC - nonpromoter inactive	AUC - random
49	valid	1.12, 1.26, 1.15, 1.09	0.82, 0.55, 0.77, 0.98	0.88, 0.96, 0.86, 1.00	0.92, 0.90, 0.90, 0.96	0.81, 0.81, 0.80, 0.84	0.88, 0.83, 0.88, 0.94	1.00, 1.00, 1.00, 1.00
50	train	1.09, 1.13, 1.15, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
50	valid	1.12, 1.20, 1.18, 1.04	0.83, 0.67, 0.71, 1.00	0.88, 0.94, 0.91, 1.00	0.91, 0.89, 0.90, 0.95	0.86, 0.85, 0.82, 0.88	0.85, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
51	train	1.09, 1.13, 1.15, 1.04	0.89, 0.82, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
51	valid	1.12, 1.19, 1.18, 1.04	0.82, 0.69, 0.70, 1.00	0.90, 0.93, 0.90, 1.00	0.91, 0.89, 0.90, 0.95	0.87, 0.86, 0.82, 0.90	0.86, 0.83, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
52	train	1.09, 1.13, 1.15, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
52	valid	1.13, 1.12, 1.23, 1.05	0.81, 0.82, 0.60, 1.00	0.92, 0.88, 0.94, 1.00	0.91, 0.90, 0.89, 0.95	0.91, 0.91, 0.85, 0.95	0.83, 0.83, 0.85, 0.89	1.00, 1.00, 1.00, 1.00
53	train	1.09, 1.13, 1.14, 1.04	0.89, 0.83, 0.80, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
53	valid	1.09, 1.18, 1.22, 1.04	0.87, 0.70, 0.61, 1.00	0.85, 0.94, 0.93, 1.00	0.93, 0.91, 0.91, 0.97	0.89, 0.88, 0.83, 0.91	0.84, 0.83, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
54	train	1.09, 1.12, 1.15, 1.04	0.89, 0.83, 0.78, 1.00	0.93, 0.96, 0.95, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
54	valid	1.09, 1.26, 1.18, 1.04	0.87, 0.54, 0.71, 1.00	0.84, 0.97, 0.90, 1.00	0.93, 0.90, 0.91, 0.97	0.83, 0.83, 0.80, 0.85	0.87, 0.82, 0.87, 0.93	1.00, 1.00, 1.00, 1.00
55	train	1.09, 1.12, 1.15, 1.04	0.89, 0.83, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.89, 0.90, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
55	valid	1.09, 1.28, 1.19, 1.04	0.88, 0.50, 0.68, 1.00	0.81, 0.97, 0.90, 1.00	0.93, 0.89, 0.91, 0.98	0.81, 0.80, 0.77, 0.82	0.86, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
56	train	1.09, 1.12, 1.15, 1.04	0.89, 0.83, 0.78, 1.00	0.93, 0.96, 0.95, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
56	valid	1.14, 1.14, 1.23, 1.04	0.79, 0.80, 0.60, 1.00	0.92, 0.88, 0.93, 1.00	0.90, 0.88, 0.88, 0.93	0.89, 0.88, 0.82, 0.93	0.81, 0.81, 0.83, 0.87	1.00, 1.00, 1.00, 1.00
57	train	1.09, 1.13, 1.15, 1.04	0.89, 0.82, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
57	valid	1.10, 1.33, 1.21, 1.04	0.87, 0.40, 0.66, 1.00	0.79, 0.98, 0.90, 0.97	0.90, 0.86, 0.89, 0.96	0.76, 0.76, 0.74, 0.77	0.84, 0.78, 0.84, 0.90	1.00, 1.00, 1.00, 1.00
58	train	1.09, 1.13, 1.14, 1.04	0.89, 0.82, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
58	valid	1.10, 1.32, 1.16, 1.04	0.86, 0.42, 0.73, 1.00	0.82, 0.98, 0.87, 1.00	0.92, 0.89, 0.90, 0.97	0.77, 0.77, 0.76, 0.80	0.88, 0.81, 0.87, 0.94	1.00, 1.00, 1.00, 1.00
59	train	1.09, 1.12, 1.15, 1.04	0.88, 0.83, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
59	valid	1.18, 1.13, 1.19, 1.04	0.70, 0.81, 0.70, 1.00	0.95, 0.86, 0.90, 1.00	0.87, 0.86, 0.85, 0.90	0.88, 0.89, 0.85, 0.94	0.83, 0.83, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
60	train	1.09, 1.12, 1.15, 1.04	0.88, 0.83, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
60	valid	1.09, 1.26, 1.20, 1.04	0.88, 0.54, 0.67, 1.00	0.82, 0.97, 0.91, 1.00	0.92, 0.89, 0.91, 0.97	0.83, 0.82, 0.79, 0.84	0.85, 0.80, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
61	train	1.09, 1.12, 1.15, 1.04	0.89, 0.83, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
61	valid	1.19, 1.16, 1.19, 1.04	0.70, 0.76, 0.69, 1.00	0.94, 0.90, 0.90, 0.96	0.86, 0.85, 0.85, 0.89	0.88, 0.88, 0.83, 0.92	0.84, 0.83, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
62	train	1.09, 1.13, 1.14, 1.04	0.89, 0.82, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
62	valid	1.15, 1.19, 1.15, 1.04	0.77, 0.67, 0.76, 1.00	0.93, 0.93, 0.87, 1.00	0.89, 0.87, 0.88, 0.92	0.86, 0.86, 0.81, 0.89	0.86, 0.84, 0.87, 0.93	1.00, 1.00, 1.00, 1.00
63	train	1.09, 1.13, 1.14, 1.04	0.89, 0.82, 0.80, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
63	valid	1.12, 1.27, 1.13, 1.07	0.82, 0.51, 0.80, 0.98	0.88, 0.97, 0.85, 1.00	0.91, 0.87, 0.91, 0.95	0.81, 0.81, 0.78, 0.83	0.88, 0.83, 0.88, 0.94	1.00, 1.00, 1.00, 1.00
64	train	1.09, 1.13, 1.14, 1.04	0.89, 0.82, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
64	valid	1.13, 1.25, 1.14, 1.04	0.81, 0.57, 0.78, 1.00	0.89, 0.96, 0.86, 1.00	0.90, 0.88, 0.90, 0.94	0.82, 0.82, 0.79, 0.84	0.87, 0.83, 0.88, 0.94	1.00, 1.00, 1.00, 1.00
65	train	1.09, 1.13, 1.14, 1.04	0.88, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
65	valid	1.14, 1.17, 1.18, 1.04	0.77, 0.71, 0.69, 1.00	0.90, 0.91, 0.90, 1.00	0.90, 0.89, 0.87, 0.95	0.85, 0.87, 0.85, 0.93	0.86, 0.83, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
66	train	1.09, 1.12, 1.14, 1.04	0.88, 0.84, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.94, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
66	valid	1.10, 1.24, 1.19, 1.04	0.86, 0.60, 0.70, 1.00	0.85, 0.96, 0.90, 1.00	0.92, 0.90, 0.90, 0.96	0.84, 0.84, 0.81, 0.86	0.86, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
67	train	1.09, 1.12, 1.14, 1.04	0.88, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
67	valid	1.13, 1.23, 1.15, 1.04	0.81, 0.62, 0.77, 1.00	0.90, 0.95, 0.87, 1.00	0.91, 0.88, 0.90, 0.94	0.84, 0.84, 0.80, 0.86	0.87, 0.84, 0.88, 0.94	1.00, 1.00, 1.00, 1.00
68	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
68	valid	1.10, 1.16, 1.25, 1.10	0.87, 0.73, 0.55, 0.88	0.82, 0.91, 0.95, 1.00	0.92, 0.90, 0.90, 0.95	0.90, 0.89, 0.83, 0.93	0.83, 0.81, 0.83, 0.88	0.99, 0.99, 0.99, 0.99
69	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
69	valid	1.08, 1.34, 1.18, 1.05	0.89, 0.40, 0.69, 1.00	0.78, 0.98, 0.89, 1.00	0.93, 0.89, 0.91, 0.98	0.76, 0.76, 0.74, 0.77	0.87, 0.81, 0.87, 0.93	1.00, 1.00, 1.00, 1.00
70	train	1.09, 1.12, 1.15, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
70	valid	1.21, 1.20, 1.16, 1.04	0.65, 0.67, 0.79, 1.00	0.96, 0.94, 0.86, 0.93	0.84, 0.83, 0.84, 0.87	0.85, 0.86, 0.83, 0.89	0.87, 0.84, 0.88, 0.94	1.00, 1.00, 1.00, 1.00
71	train	1.09, 1.12, 1.14, 1.04	0.89, 0.84, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
71	valid	1.11, 1.29, 1.15, 1.04	0.85, 0.49, 0.76, 1.00	0.86, 0.97, 0.86, 1.00	0.92, 0.90, 0.90, 0.96	0.78, 0.78, 0.77, 0.80	0.88, 0.81, 0.88, 0.94	1.00, 1.00, 1.00, 1.00
72	train	1.09, 1.13, 1.14, 1.04	0.89, 0.82, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
72	valid	1.10, 1.31, 1.15, 1.04	0.86, 0.44, 0.76, 1.00	0.84, 0.98, 0.86, 1.00	0.92, 0.88, 0.91, 0.97	0.78, 0.78, 0.76, 0.80	0.88, 0.81, 0.87, 0.94	1.00, 1.00, 1.00, 1.00
73	train	1.09, 1.13, 1.14, 1.04	0.88, 0.82, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
73	valid	1.08, 1.30, 1.23, 1.04	0.91, 0.47, 0.62, 1.00	0.77, 0.98, 0.92, 1.00	0.92, 0.89, 0.90, 0.97	0.76, 0.76, 0.74, 0.77	0.82, 0.78, 0.82, 0.86	1.00, 1.00, 1.00, 1.00
74	train	1.09, 1.12, 1.14, 1.04	0.88, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.93, 0.93, 0.91, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
74	valid	1.10, 1.16, 1.24, 1.04	0.87, 0.75, 0.57, 1.00	0.87, 0.92, 0.95, 1.00	0.92, 0.91, 0.90, 0.96	0.90, 0.89, 0.84, 0.92	0.83, 0.81, 0.83, 0.87	1.00, 1.00, 1.00, 1.00
75	train	1.09, 1.12, 1.14, 1.04	0.88, 0.84, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.96	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
75	valid	1.12, 1.17, 1.19, 1.04	0.83, 0.74, 0.68, 1.00	0.90, 0.92, 0.92, 1.00	0.91, 0.90, 0.90, 0.95	0.88, 0.88, 0.84, 0.91	0.84, 0.83, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
76	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
76	valid	1.10, 1.22, 1.19, 1.05	0.86, 0.62, 0.68, 0.98	0.85, 0.95, 0.91, 1.00	0.92, 0.90, 0.91, 0.96	0.85, 0.84, 0.81, 0.87	0.85, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
77	train	1.09, 1.12, 1.14, 1.04	0.88, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.96	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
77	valid	1.09, 1.23, 1.21, 1.04	0.89, 0.61, 0.64, 1.00	0.83, 0.96, 0.92, 1.00	0.93, 0.90, 0.91, 0.98	0.85, 0.84, 0.80, 0.87	0.84, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
78	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
78	valid	1.11, 1.19, 1.19, 1.04	0.84, 0.68, 0.69, 1.00	0.88, 0.94, 0.91, 1.00	0.91, 0.89, 0.90, 0.95	0.87, 0.87, 0.83, 0.90	0.85, 0.82, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
79	train	1.09, 1.13, 1.14, 1.04	0.88, 0.82, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
79	valid	1.15, 1.12, 1.25, 1.04	0.77, 0.84, 0.56, 1.00	0.93, 0.86, 0.94, 1.00	0.88, 0.87, 0.86, 0.91	0.91, 0.90, 0.84, 0.95	0.79, 0.80, 0.81, 0.85	1.00, 1.00, 1.00, 1.00
80	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.94, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
80	valid	1.11, 1.29, 1.16, 1.04	0.86, 0.49, 0.75, 1.00	0.85, 0.98, 0.87, 1.00	0.92, 0.89, 0.90, 0.96	0.78, 0.78, 0.76, 0.80	0.86, 0.82, 0.86, 0.92	1.00, 1.00, 1.00, 1.00
81	train	1.09, 1.13, 1.15, 1.04	0.89, 0.82, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
81	valid	1.13, 1.18, 1.18, 1.04	0.81, 0.71, 0.71, 1.00	0.91, 0.93, 0.90, 0.99	0.91, 0.89, 0.88, 0.94	0.87, 0.87, 0.83, 0.90	0.86, 0.84, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
82	train	1.09, 1.12, 1.15, 1.04	0.89, 0.83, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.94, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.89, 0.90, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
82	valid	1.12, 1.18, 1.21, 1.04	0.84, 0.70, 0.65, 1.00	0.88, 0.93, 0.92, 1.00	0.90, 0.88, 0.88, 0.95	0.86, 0.86, 0.82, 0.89	0.83, 0.82, 0.84, 0.88	1.00, 1.00, 1.00, 1.00
83	train	1.09, 1.13, 1.15, 1.04	0.89, 0.83, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.91, 0.93	1.00, 1.00, 1.00, 1.00
83	valid	1.11, 1.20, 1.18, 1.04	0.84, 0.66, 0.70, 1.00	0.88, 0.95, 0.90, 1.00	0.92, 0.90, 0.90, 0.96	0.86, 0.86, 0.82, 0.89	0.85, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
84	train	1.09, 1.12, 1.15, 1.04	0.89, 0.83, 0.78, 1.00	0.93, 0.96, 0.94, 1.00	0.94, 0.94, 0.93, 0.97	0.93, 0.92, 0.90, 0.94	0.90, 0.90, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
84	valid	1.10, 1.26, 1.17, 1.04	0.86, 0.55, 0.73, 1.00	0.86, 0.97, 0.88, 1.00	0.93, 0.90, 0.91, 0.97	0.82, 0.82, 0.79, 0.84	0.87, 0.82, 0.87, 0.93	1.00, 1.00, 1.00, 1.00
85	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
85	valid	1.13, 1.21, 1.16, 1.04	0.80, 0.64, 0.75, 1.00	0.90, 0.95, 0.88, 1.00	0.90, 0.88, 0.88, 0.94	0.85, 0.85, 0.81, 0.87	0.86, 0.84, 0.88, 0.93	1.00, 1.00, 1.00, 1.00
86	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
86	valid	1.10, 1.21, 1.21, 1.04	0.88, 0.65, 0.66, 1.00	0.85, 0.95, 0.92, 1.00	0.92, 0.90, 0.91, 0.96	0.85, 0.84, 0.81, 0.87	0.84, 0.81, 0.84, 0.89	1.00, 1.00, 1.00, 1.00
87	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.95, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
87	valid	1.13, 1.17, 1.18, 1.04	0.81, 0.73, 0.71, 1.00	0.91, 0.92, 0.91, 1.00	0.91, 0.90, 0.89, 0.94	0.87, 0.87, 0.84, 0.91	0.85, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
88	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
88	valid	1.11, 1.25, 1.14, 1.04	0.84, 0.55, 0.78, 1.00	0.88, 0.97, 0.87, 1.00	0.92, 0.89, 0.90, 0.96	0.83, 0.83, 0.80, 0.85	0.89, 0.84, 0.89, 0.96	1.00, 1.00, 1.00, 1.00
89	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.79, 1.00	0.93, 0.96, 0.95, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
89	valid	1.11, 1.35, 1.13, 1.04	0.85, 0.37, 0.80, 1.00	0.85, 0.99, 0.84, 1.00	0.92, 0.88, 0.91, 0.97	0.75, 0.75, 0.73, 0.76	0.89, 0.81, 0.88, 0.96	1.00, 1.00, 1.00, 1.00
90	train	1.09, 1.13, 1.14, 1.04	0.89, 0.82, 0.79, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.90, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
90	valid	1.10, 1.24, 1.17, 1.04	0.86, 0.58, 0.73, 1.00	0.86, 0.97, 0.89, 1.00	0.93, 0.90, 0.91, 0.97	0.84, 0.84, 0.81, 0.86	0.87, 0.83, 0.88, 0.93	1.00, 1.00, 1.00, 1.00
91	train	1.09, 1.12, 1.14, 1.04	0.89, 0.84, 0.80, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.91, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
91	valid	1.12, 1.21, 1.15, 1.04	0.82, 0.64, 0.77, 1.00	0.90, 0.95, 0.88, 1.00	0.91, 0.89, 0.90, 0.95	0.85, 0.85, 0.81, 0.87	0.87, 0.86, 0.88, 0.93	1.00, 1.00, 1.00, 1.00
92	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.80, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.94	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
92	valid	1.12, 1.35, 1.13, 1.04	0.82, 0.35, 0.82, 1.00	0.86, 0.99, 0.82, 0.99	0.90, 0.86, 0.90, 0.95	0.74, 0.74, 0.73, 0.75	0.89, 0.80, 0.88, 0.96	1.00, 1.00, 1.00, 1.00
93	train	1.09, 1.12, 1.14, 1.04	0.88, 0.84, 0.81, 1.00	0.94, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.91, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
93	valid	1.11, 1.20, 1.18, 1.04	0.84, 0.67, 0.70, 1.00	0.88, 0.94, 0.91, 1.00	0.92, 0.90, 0.90, 0.96	0.87, 0.86, 0.83, 0.89	0.86, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
94	train	1.09, 1.12, 1.14, 1.04	0.89, 0.85, 0.79, 1.00	0.93, 0.96, 0.95, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
94	valid	1.10, 1.24, 1.17, 1.04	0.86, 0.58, 0.73, 1.00	0.86, 0.96, 0.89, 1.00	0.93, 0.90, 0.91, 0.97	0.84, 0.83, 0.81, 0.86	0.87, 0.84, 0.88, 0.94	1.00, 1.00, 1.00, 1.00
95	train	1.09, 1.12, 1.14, 1.04	0.89, 0.85, 0.79, 1.00	0.93, 0.96, 0.95, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
95	valid	1.11, 1.26, 1.16, 1.04	0.85, 0.55, 0.74, 1.00	0.87, 0.97, 0.88, 1.00	0.92, 0.89, 0.90, 0.97	0.82, 0.82, 0.79, 0.84	0.87, 0.82, 0.87, 0.93	1.00, 1.00, 1.00, 1.00
96	train	1.09, 1.12, 1.14, 1.04	0.89, 0.84, 0.80, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.91, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
96	valid	1.10, 1.39, 1.14, 1.04	0.86, 0.31, 0.78, 1.00	0.81, 0.99, 0.85, 1.00	0.92, 0.87, 0.91, 0.98	0.71, 0.71, 0.69, 0.72	0.89, 0.83, 0.89, 0.96	1.00, 1.00, 1.00, 1.00
97	train	1.09, 1.12, 1.14, 1.04	0.89, 0.84, 0.79, 1.00	0.93, 0.96, 0.95, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
97	valid	1.14, 1.23, 1.13, 1.04	0.79, 0.60, 0.82, 1.00	0.92, 0.96, 0.85, 1.00	0.91, 0.88, 0.90, 0.94	0.84, 0.84, 0.81, 0.86	0.88, 0.85, 0.89, 0.95	1.00, 1.00, 1.00, 1.00
98	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.80, 1.00	0.93, 0.96, 0.95, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.90, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
98	valid	1.11, 1.27, 1.17, 1.04	0.85, 0.54, 0.74, 1.00	0.86, 0.96, 0.88, 1.00	0.92, 0.90, 0.90, 0.96	0.80, 0.81, 0.79, 0.83	0.87, 0.82, 0.87, 0.93	1.00, 1.00, 1.00, 1.00
99	train	1.09, 1.12, 1.14, 1.04	0.89, 0.85, 0.80, 1.00	0.93, 0.96, 0.95, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.91, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
99	valid	1.08, 1.27, 1.22, 1.04	0.92, 0.52, 0.61, 1.00	0.78, 0.97, 0.93, 1.00	0.93, 0.90, 0.91, 0.98	0.81, 0.81, 0.78, 0.82	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
